SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1 Rausch St Unit F,San Francisco,CA,94103,1750000,2,2.0,San Francisco,1815,5621,1909,2,964,838,Active,October-13-2021 12:00 PM,October-13-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/1-Rausch-St-94103/unit-F/home/1083229,San Francisco MLS,421602382,N,Y,37.7770021,-122.4101366
MLS Listing,,Condo/Co-op,75 Folsom St #1400,SAN FRANCISCO,CA,94105,1788000,2,2.0,SAN FRANCISCO,1302,,1991,2,1373,1366,Active,,,http://www.redfin.com/CA/San-Francisco/75-Folsom-St-94105/unit-1400/home/1565450,MLSListings,ML81866073,N,Y,37.7900791,-122.3904683
MLS Listing,,Townhouse,1501 Filbert St Unit TH1C,San Francisco,CA,94123,2695000,3,3.5,San Francisco,2470,10900,2014,2,1091,1007,Active,,,http://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-TH1C/home/110051440,San Francisco MLS,421602271,N,Y,37.7991911,-122.4245164
MLS Listing,,Single Family Residential,238 Mangels Ave,San Francisco,CA,94131,2295000,4,3.5,San Francisco,2831,3054,2003,2,811,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/238-Mangels-Ave-94131/home/1892662,San Francisco MLS,421602542,N,Y,37.7332524,-122.4429032
MLS Listing,,Condo/Co-op,1089 De Haro St,San Francisco,CA,94107,995000,2,2.0,San Francisco,1088,4800,1977,2,915,300,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1089-De-Haro-St-94107/home/1622072,San Francisco MLS,421602487,N,Y,37.756016,-122.400439
MLS Listing,,Multi-Family (2-4 Unit),1183 - 1185 Howard St,San Francisco,CA,94103,2395000,5,0.5,San Francisco,3480,2247,1907,2,688,,Active,,,http://www.redfin.com/CA/San-Francisco/1183-Howard-St-94103/home/147135128,San Francisco MLS,421602500,N,Y,37.7764341,-122.4109552
MLS Listing,,Single Family Residential,78 Wawona St,San Francisco,CA,94127,1649500,2,2.0,San Francisco,1549,3001,1926,2,1065,,Active,October-12-2021 01:00 PM,October-12-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/78-Wawona-St-94127/home/683981,San Francisco MLS,421601381,N,Y,37.742071,-122.4667544
MLS Listing,,Condo/Co-op,411 Francisco St #312,San Francisco,CA,94133,1250000,2,2.0,San Francisco,1033,44663,2001,2,1210,771,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/411-Francisco-St-94133/unit-312/home/877158,San Francisco MLS,421602517,N,Y,37.804362,-122.412447
MLS Listing,,Multi-Family (2-4 Unit),278 - 280 18th Ave,San Francisco,CA,94121,1395000,3,,San Francisco,2578,3000,1905,2,541,,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/278-18th-Ave-94121/home/1237217,San Francisco MLS,421598205,N,Y,37.782805,-122.4770772
MLS Listing,,Multi-Family (2-4 Unit),3161 - 3165 Washington St,San Francisco,CA,94115,13500000,0,,San Francisco,7408,4788,1905,2,1822,,Active,,,http://www.redfin.com/CA/San-Francisco/3161-Washington-St-94115/home/1676091,San Francisco MLS,421602499,N,Y,37.7900435,-122.4453155
MLS Listing,,Single Family Residential,658 40th Ave,San Francisco,CA,94121,1295000,2,1.0,San Francisco,1202,3000,1927,2,1077,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/658-40th-Ave-94121/home/2021254,San Francisco MLS,421601049,N,Y,37.7763352,-122.5003428
MLS Listing,,Condo/Co-op,1740 Laguna St #401,San Francisco,CA,94115,1275000,2,2.0,San Francisco,1100,1558,1985,2,1159,400,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1740-Laguna-St-94109/unit-401/home/570790,San Francisco MLS,421602488,N,Y,37.7873388,-122.4282793
